161.69320614051747,453.76488938766516,1.0138830831493333,2.3657766906617206,0.289939059293898,0.1763432053754634,0.6082078275514868;102.48439844190706,550.0590411728546,2.3438610858447753,-1.196471292120158,0.5325565437909451,0.511893176653526,0.511893176653526
96.6476119467141,640.344498848081,2.2401770491172854,1.2864465791467166,0.5270442241100363,0.4270775479452716,0.8103258292346002;36.784976919931594,517.1237829852732,0.8983602616979124,-1.813039257951862,0.7444585136432578,0.5773860047031322,0.5773860047031322
124.69859238580544,578.3439759840159,2.091745067226331,-0.8691797751171674,0.7653947224855034,0.6159348178451661,0.8047283313438732;83.62985226580199,675.4908601498618,0.9654763524539322,2.230017318650964,0.7479193138500635,0.647033831003812,0.647033831003812
108.52284561210938,466.30001524367333,1.4122996632421305,-1.4157158909526564,0.9020044186651892,0.713737242939814,0.7912790981623148;33.37777532896015,494.745128438967,2.0615925402578252,1.639674698088293,0.5073397731124952,0.45028232530586665,0.45028232530586665
130.68071292291125,456.3252625813741,1.5766293192961653,2.9443230171381094,0.3992658011638608,0.33924090857933525,0.8496618232526982;122.12523072649842,413.27993904858243,2.1147402181042385,-0.33941609593320843,0.6710642988759163,0.5345255433339502,0.5345255433339502
144.76534211612937,461.3067366969617,1.9180655315587518,-2.815788015473239,0.6217381208956734,0.4424051725677679,0.7115619224544907;45.84395574118634,435.10842386926964,1.9536583442390627,0.3531365807819564,0.7602247022694929,0.6435472998277283,0.6435472998277283
167.5675795850754,657.9471248299517,1.6344180025701212,-1.1126788709351059,0.44297818988440496,0.4101555503506427,0.925904614982676;84.41181394070506,562.0009224789937,1.5613519812508203,1.7462171209468138,0.5671971911967998,0.6167573981870007,0.6167573981870007
204.89633221216982,657.0834812084382,1.1077483484259611,-0.6797680738521104,0.7796902635779301,0.5186672274707734,0.6652221423038619;130.53161486398616,580.1858938486871,1.9071840508900104,2.4321828777167065,0.6075297571724784,0.5777428716896099,0.5777428716896099
330.90103424740187,652.9523745526927,1.791694579625668,-0.8375631057725753,0.4098337444794781,0.2629391231423546,0.64157509400869;215.9528187405758,678.7384014839591,0.9076898959119659,2.2390550101349396,0.39462425107544113,0.26798924073372754,0.26798924073372754
247.75797284043085,686.0661966559787,1.2869233265342996,-0.8139742430838004,0.6193698784967505,0.4446039370820382,0.7178326756236836;128.45809200669098,668.0884752021996,1.4117297844933003,2.4074287846861306,0.7805193743043777,0.6661652852007126,0.6661652852007126
204.36319473552425,722.7845423343598,1.4946301685525822,-0.03479705748207525,0.293211381699093,0.299743921972719,1.0222792861442533;117.19689567561227,747.1372532165693,1.2295615123727084,-2.9946901439041422,0.42034331670781655,0.39620342298039446,0.39620342298039446
361.6110946887556,818.087068061218,0.7251937503474951,2.874951545161852,0.15785630353491917,0.123917488099851,0.7850018360048534;106.6739698286219,777.52900747239,1.7810532951326012,-0.2963744990337253,0.7864610090433903,0.7465241252211919,0.7465241252211919
113.75654031746964,474.2795019331955,1.2617788658936437,-2.0409153272772143,0.7835935002376764,0.60739922099599,0.7751458132459702;64.00144956951989,571.1451410569821,2.002444230056905,0.39987189239677584,0.6975990800646675,0.6796207739697868,0.6796207739697868
204.97723701913793,563.6894907695194,1.3944657273177439,1.0060027229244932,0.21819549028869933,0.1148163327683459,0.5262085509486463;57.7693494510737,505.0084405868876,1.7332678971676772,-2.132705724851896,0.6722602211365389,0.6694163023913603,0.6694163023913603
